isAdult,releaseYear,runtimeMinutes,genres,lifetimeGross,nrOfReleases,director_nrOfMovies,nrOfEmployees,nrOfActors,averageRating,numVotes,sameYearTotalMoviesReleased
0,2002,85,"Adventure,Comedy,Drama",38438.0,18,12,17,10,7.1,3316,5864
0,2016,85,"Drama,Romance",16738.0,10,4,22,10,5.4,57,18513
0,2005,130,"Crime,Drama",2080321.0,43,46,22,11,6.8,34338,7753
0,2012,102,"Adventure,Drama,Horror",92181.0,34,43,20,10,5.3,24291,14841
0,2013,95,Drama,92181.0,5,4,12,4,5.1,38,15505
0,2002,131,"Action,Adventure,Drama",54234062.0,53,20,21,10,7.7,148915,5864
0,2006,109,"Crime,Drama,Fantasy",9613.0,15,15,20,10,4.6,2279,8293
0,2006,118,Drama,9613.0,4,8,16,10,1.7,7,8293
0,2010,140,"Action,Adventure,Drama",105269730.0,50,89,22,10,6.6,283916,12843
0,1981,116,"Drama,Sport,War",10853418.0,52,49,21,10,6.6,33346,4110
0,2007,95,"Drama,War",128222.0,19,77,18,10,6.8,2747,9066
0,2007,92,Drama,128222.0,3,8,8,1,7.3,14,9066
0,2012,129,"Drama,Romance",12816367.0,48,57,22,10,6.6,106777,14841
0,1985,102,Comedy,40833132.0,43,37,23,10,6.5,43235,4533
0,1996,124,"Drama,History",7343114.0,44,30,20,10,6.8,40286,4372
0,2015,103,"Adventure,Comedy,Crime",17506470.0,39,41,19,10,7.2,89429,17292
0,2017,101,Drama,14018.0,20,39,17,9,5.9,2460,18977
0,2011,120,"Drama,Mystery,Romance",11242660.0,50,48,20,10,7.3,93251,13791
0,2016,77,Documentary,101657.0,4,14,9,1,7.4,51,18513
0,1995,123,"Drama,Romance",2844379.0,27,23,20,10,6.8,10195,4397
0,2002,97,"Action,Crime,Drama",3090862.0,23,56,27,10,7.0,14300,5864
0,2018,110,"Action,Drama",4719928.0,31,31,30,10,4.5,4979,19175
0,2012,94,"Action,Thriller",38898.0,26,3,24,10,4.3,7565,14841
0,1997,96,"Crime,Drama",1126506.0,26,13,18,10,7.6,5642,4708
0,2015,107,"Crime,Drama,Mystery",60438.0,16,5,22,10,6.7,3915,17292
0,2012,95,"Drama,Fantasy,Horror",54333290.0,46,28,21,10,6.4,192956,14841
0,2016,120,"Biography,Drama,History",15861566.0,29,18,25,10,6.5,21862,18513
0,2016,99,Comedy,63285885.0,39,8,24,10,5.4,48754,18513
0,2019,91,Documentary,106057.0,14,28,18,0,6.4,863,19072
0,2011,90,"Comedy,Drama",105018.0,34,85,21,10,6.2,22521,13791
0,2014,112,"Crime,Drama,Mystery",1075178.0,40,52,23,10,5.9,35872,16664
0,2012,83,Comedy,59650222.0,55,60,26,11,6.5,336140,14841
0,2013,120,"Drama,Romance",2025328.0,49,21,24,11,6.6,33854,15505
0,1995,134,"Drama,Music",65196.0,8,26,21,10,7.0,646,4397
0,1996,95,"Action,Adventure,Drama",21686547.0,38,4,22,10,5.6,28198,4372
0,2012,110,"Crime,Mystery,Thriller",16008272.0,44,30,22,10,6.4,88372,14841
0,1989,106,"Drama,History",8800000.0,27,46,18,10,6.4,5537,4633
0,2004,141,Drama,16136476.0,38,40,24,10,6.2,23526,6733
0,2012,104,"Drama,Romance",125014030.0,58,11,28,10,6.8,205512,14841
0,2010,133,"Adventure,Drama,History",2701859.0,49,34,24,10,7.3,122224,12843
0,1982,108,"Action,Drama",2977706.0,32,126,19,10,6.2,2683,4121
0,2011,109,"Biography,Drama,Thriller",1361512.0,39,22,26,12,7.0,63916,13791
0,2014,84,"Drama,History,War",230880.0,31,56,20,10,7.1,5873,16664
0,1995,101,"Crime,Drama,Thriller",14942422.0,33,57,22,10,5.9,20272,4397
0,2000,110,"Crime,Drama,Thriller",260562.0,45,111,24,10,6.4,27687,5246
0,2000,73,Drama,5594617.0,4,25,17,10,7.5,80,5246
0,2001,91,"Biography,Drama,Romance",5594617.0,29,47,21,10,7.0,19164,5636
0,2013,77,Drama,63946.0,17,40,20,10,6.4,1976,15505
0,1987,90,"Comedy,Drama,Sci-Fi",61821.0,15,170,15,8,5.5,1492,4526
0,1988,101,"Drama,Fantasy,Horror",1869148.0,21,7,21,10,5.4,1930,4634
0,2015,91,Drama,112391.0,36,15,19,10,6.8,6803,17292
0,2009,90,"Comedy,Drama",93388.0,27,19,22,10,4.6,4775,12001
0,1995,114,"Action,Crime,Drama",50727965.0,53,8,20,10,6.0,74020,4397
0,2011,107,"Drama,Romance",13843771.0,60,54,18,10,7.0,168873,13791
0,2010,93,"Drama,Romance,Sci-Fi",13843771.0,10,14,10,3,6.6,506,12843
0,2016,96,"Horror,Thriller",3000342.0,28,29,21,10,5.3,19299,18513
0,2000,165,"Action,Drama,History",113330342.0,58,34,22,10,7.2,294338,5246
0,1996,100,"Action,Adventure,Comedy",17323326.0,38,224,23,11,5.1,35887,4372
0,1995,111,"Drama,Fantasy,Mystery",30862156.0,37,14,19,10,6.6,32685,4397
0,2014,85,"Comedy,Drama",8512.0,3,20,19,10,6.0,122,16664
0,2009,128,"Action,Adventure,Mystery",209028679.0,55,44,24,10,7.6,672949,12001
0,1988,98,"Comedy,Fantasy",13664060.0,26,11,20,10,5.9,10602,4634
