tconst,itemLabel,domesticGross
tt0010088,The End of the Road,9000.0
tt0012675,The Sheik,1500000.0
tt0013556,Robin Hood,2500000.0
tt0014991,His Hour,595000.0
tt0015016,The Iron Horse,942889.0
tt0015163,The Navigator,680406.0
tt0015400,The Thief of Bagdad,3000000.0
tt0015648,Battleship Potemkin,46653.0
tt0015864,The Gold Rush,2500000.0
tt0016332,Seven Chances,598288.0
tt0018183,My Best Girl,1027757.0
tt0018253,The Patent Leather Kid,1200000.0
tt0019096,Lights of New York,1252000.0
tt0019388,The Singing Fool,5916000.0
tt0020062,The Kiss,518000.0
tt0020198,The Mysterious Island,1130000.0
tt0020589,Wild Orchids,1165000.0
tt0020641,Anna Christie,1013000.0
tt0020815,The Dawn Patrol,1624000.0
tt0020836,The Doorway to Hell,688000.0
tt0020960,Hell's Angels,8000000.0
tt0021079,Little Caesar,752000.0
tt0021873,Five Star Final,665000.0
tt0021884,Frankenstein,12000000.0
tt0022458,Tabu: A Story of the South Seas,472000.0
tt0022827,Doctor X,594000.0
tt0023181,The Man Who Played God,536000.0
tt0023594,Tiger Shark,879000.0
tt0023622,Trouble in Paradise,475000.0
tt0023642,Union Depot,488000.0
tt0023694,White Zombie,8000000.0
tt0023825,Bombshell,761000.0
tt0024028,Footlight Parade,2400000.0
tt0024620,The Stranger's Return,630000.0
tt0024894,The Black Cat,236000.0
tt0026138,Bride of Frankenstein,2000000.0
tt0026393,G Men,1963000.0
tt0029047,In Old Chicago,2500000.0
tt0029284,My Favorite Wife,2057000.0
tt0029843,The Adventures of Robin Hood,3981000.0
tt0029855,Algiers,951801.0
tt0029870,Angels with Dirty Faces,1700000.0
tt0029947,Bringing Up Baby,489000.0
tt0030202,The Great Waltz,2422000.0
tt0031260,Each Dawn I Die,1570000.0
tt0031398,Gunga Din,2807000.0
tt0031721,"Nick Carter, Master Detective",456000.0
tt0032553,The Great Dictator,5000000.0
tt0032762,The Mark of Zorro,2000000.0
tt0033028,The Sea Hawk,2678000.0
tt0033405,Blood and Sand,2717200.0
tt0033717,High Sierra,1489000.0
tt0033729,How Green Was My Valley,2400000.0
tt0033740,I Wake Up Screaming,1491500.0
tt0034162,The Sea Wolf,1881000.0
tt0034248,Suspicion,4500000.0
tt0034399,A Woman's Face,1907000.0
tt0034449,All Through the Night,1968000.0
tt0034465,Arabian Nights,3453416.0
tt0034578,Captains of the Clouds,3428000.0
tt0034587,Cat People,4000000.0
tt0034646,Desperate Journey,3980000.0
tt0034928,Jungle Book,11000000.0
tt0035258,Rings on Her Fingers,925300.0
tt0035423,Kate & Leopold,76019048.0
tt0035608,Action in the North Atlantic,3460000.0
tt0035799,Destination Tokyo,3237000.0
tt0036218,Northern Pursuit,3252000.0
tt0036323,Sahara,2300000.0
tt0036613,Arsenic and Old Lace,2836000.0
tt0036756,El destino se disculpa,120.74
tt0036855,Gaslight,4613000.0
tt0036959,The Invisible Man's Revenge,765700.0
tt0037366,Thirty Seconds Over Tokyo,4297000.0
tt0037515,And Then There Were None,1000000.0
tt0037644,Dillinger,4000000.0
tt0037954,"Objective, Burma!",3961000.0
tt0038109,Spellbound,4975000.0
tt0038190,A Tree Grows in Brooklyn,3000000.0
tt0038275,Los últimos de Filipinas,2720.25
tt0038650,It's a Wonderful Life,1474573.0
tt0038787,Notorious,24464742.0
tt0038991,The Stranger,3216000.0
tt0039208,Boomerang,2250000.0
tt0039330,Don Quixote,769579.0
tt0039750,Ramrod,2000000.0
tt0039926,The Two Mrs. Carrolls,3569000.0
tt0040221,Caught,511000.0
tt0040259,Currito of the Cross,15983.12
tt0040544,Locura de amor,1937.04
tt0040636,The Naked City,2400000.0
tt0040664,On Our Merry Way,1500000.0
tt0040848,Summer Holiday,1609000.0
tt0041257,Come to the Stable,8000000.0
tt0041445,The Hasty Heart,248584.0
tt0041555,Knock on Any Door,2100000.0
tt0041650,Mighty Joe Young,1950000.0
tt0041776,The Queen of Spades,107250.0
tt0041841,Sands of Iwo Jima,7800000.0
tt0041886,The Small Back Room,129732.0
tt0042041,White Heat,3483000.0
tt0042208,The Asphalt Jungle,2137000.0
tt0042247,The Big Hangover,1626000.0
tt0042393,Destination Moon,5000000.0
tt0042646,King Solomon's Mines,9955000.0
tt0042665,Last Holiday,109084.0
tt0042672,The Lioness of Castille,1670.47
tt0042859,Prima comunione,222402366.0
tt0042994,Stage Fright,1908000.0
tt0043306,Awaara,12500000.0
tt0043379,Captain Horatio Hornblower R.N.,2598000.0
tt0043459,Decision Before Dawn,1550000.0
tt0043547,Flying Leathernecks,2600000.0
tt0043606,Cops and Robbers,653790000.0
tt0043744,Lightning Strikes Twice,1144000.0
tt0043750,Lola la Piconera,10105.42
tt0043899,Pandora and the Flying Dutchman,1600000.0
tt0043924,A Place in the Sun,3500000.0
tt0044079,Strangers on a Train,7000000.0
tt0044081,A Streetcar Named Desire,8000000.0
tt0044333,Against All Flags,1600000.0
tt0044426,Blackbeard the Pirate,1250000.0
tt0044517,The Crimson Pirate,2500000.0
tt0044751,Invitation,1455000.0
tt0044837,Limelight,8000000.0
tt0045061,The Quiet Man,7600000.0
tt0045162,The Snows of Kilimanjaro,6500000.0
tt0045184,Springfield Rifle,4900000.0
tt0045201,Hunted,111000.0
tt0045274,Umberto D.,74308.0
tt0045546,"The Beast from 20,000 Fathoms",5000000.0
tt0045693,Do Bigha Zamin,7000000.0
tt0045759,Eager to Live,76199183.0
tt0045816,The Girl Who Had Everything,1218000.0
tt0045883,Hondo,4100000.0
tt0045888,House of Wax,23750000.0
tt0045891,How to Marry a Millionaire,8000000.0
tt0045897,I Confess,2000000.0
tt0045943,Julius Caesar,3920000.0
tt0046126,Niagara,2300000.0
tt0046250,Roman Holiday,3000000.0
tt0046719,Apache,10000000.0
tt0046876,Creature from the Black Lagoon,1300000.0
tt0046883,La cruz de mayo,1252.38
tt0046951,Elephant Walk,3000000.0
tt0046969,The Fast and the Furious,250000.0
tt0047073,Hell and High Water,2700000.0
tt0047296,On the Waterfront,9600000.0
tt0047478,Seven Samurai,268230000.0
tt0047542,Suddenly,1400000.0
tt0047630,Ulysses,1800000000.0
tt0047885,Blackboard Jungle,5292000.0
tt0048380,Mister Roberts,21200000.0
tt0048473,Pather Panchali,134241.0
tt0048538,The Rains of Ranchipur,2600000.0
tt0048554,Revenge of the Creature,1100000.0
tt0048673,Summertime,2000000.0
