Dimension 1,Dimension 2
12.275841,-38.49501
-32.319275,-62.973427
-77.90815,-10.463196
-3.411618,-3.128705
0.95716345,-16.427937
40.593292,46.219364
-29.821846,-35.601524
-6.0571976,-25.22067
41.11042,47.30194
-36.575836,-5.4274144
-34.44461,-8.477401
-48.323044,28.146084
-64.57823,-45.5559
30.701797,-12.828487
-37.907284,5.8566794
35.87461,-25.711613
-4.419863,-10.547987
-62.627674,-55.862225
-44.763027,46.259792
-67.51746,-35.901184
12.689761,79.55102
-10.18361,1.1614413
21.358948,35.66793
-76.788124,-11.41866
-79.36888,16.30422
4.8160887,-6.210372
-96.04045,2.6759079
69.71991,4.0663953
-8.2689295,76.063835
28.466875,-61.861065
10.902094,-17.839476
27.357973,-11.179949
-64.77863,-45.93934
-66.57274,0.600394
51.52025,47.31701
9.250353,49.803154
-19.734406,-14.115262
-16.279938,-25.896406
-63.855114,-45.887928
-34.80808,3.4698992
-11.907562,0.34021845
-23.575705,23.589823
-33.507107,-14.241846
5.1976438,64.3085
4.565639,64.92201
-46.067875,25.386421
-51.55773,-69.50535
-4.984774,-15.213662
31.372309,-55.645855
5.1633615,-5.3973207
-54.79363,10.959424
30.317554,-61.933933
27.25408,83.06129
-64.05216,-45.463467
-62.417995,-42.11401
1.7533311,27.130789
-18.61744,13.809601
65.92264,46.095306
-21.375008,5.1554556
29.564299,-66.86625
40.399143,36.43109
42.096596,-3.7141323
7.054449,-7.829685
-33.630985,-53.552135
5.742458,64.44487
-51.848587,-41.998882
-18.909832,27.470758
42.092678,-3.5507126
59.860954,1.7642096
58.533936,-1.2233326
-48.288662,23.645891
-100.10118,0.03026926
-63.56042,-33.53372
-19.335173,25.251501
-6.26847,-53.455452
-9.485262,40.185326
-15.730085,-31.163157
68.55398,3.658009
36.237736,-59.716084
-40.00241,68.432045
-47.45262,23.6133
-45.97774,4.9552474
-46.723175,28.783228
6.8853683,2.7463663
-18.266054,-19.223267
-29.820583,-53.05138
-22.518276,-54.15679
-96.84146,2.7656677
51.957565,47.185226
21.41773,35.4449
-34.17071,-51.88198
18.260324,-29.398043
-60.983627,15.694398
12.88924,-1.5996531
11.9552555,-38.225872
-28.430069,-49.197372
51.175545,49.182922
-66.22313,-36.23106
-35.313877,-9.86735
5.815739,63.185413
-54.97561,12.739835
-6.76695,27.486137
-3.227419,-18.288696
41.504906,60.8032
