tconst,BoxOffice
tt0010088,
tt0012675,3270000.0
tt0013556,
tt0014991,197571.0
tt0015016,
tt0015163,
tt0015400,
tt0015648,51198.0
tt0015864,
tt0016332,210748.0
tt0018183,
tt0018253,
tt0019096,
tt0019388,10900000.0
tt0020062,
tt0020198,
tt0020589,
tt0020641,
tt0020815,
tt0020836,
tt0020960,
tt0021079,
tt0021873,
tt0021884,
tt0022458,
tt0022827,882900.0
tt0023181,
tt0023594,
tt0023622,
tt0023642,
tt0023694,
tt0023825,
tt0024028,
tt0024620,
tt0024894,
tt0026138,
tt0026393,
tt0029047,
tt0029284,
tt0029843,
tt0029855,
tt0029870,
tt0029947,
tt0030202,
tt0031260,
tt0031398,
tt0031721,
tt0032553,
tt0032762,
tt0033028,
tt0033405,5923496.0
tt0033717,
tt0033729,
tt0033740,
tt0034162,
tt0034248,
tt0034399,
tt0034449,
tt0034465,
tt0034578,
tt0034587,
tt0034646,
tt0034928,2834000.0
tt0035258,
tt0035423,47121859.0
tt0035608,2600000.0
tt0035799,
tt0036218,
tt0036323,2300000.0
tt0036613,
tt0036756,
tt0036855,
tt0036959,1669226.0
tt0037366,
tt0037515,
tt0037644,
tt0037954,
tt0038109,
tt0038190,
tt0038275,
tt0038650,1483643.0
tt0038787,
tt0038991,
tt0039208,
tt0039330,
tt0039750,
tt0039926,
tt0040221,
tt0040259,
tt0040544,
tt0040636,2400000.0
tt0040664,
tt0040848,
tt0041257,
tt0041445,
tt0041555,
tt0041650,
tt0041776,
tt0041841,
tt0041886,
tt0042041,
tt0042208,
tt0042247,
tt0042393,5000000.0
tt0042646,
tt0042665,
tt0042672,
tt0042859,
tt0042994,
tt0043306,
tt0043379,
tt0043459,
tt0043547,
tt0043606,
tt0043744,
tt0043750,
tt0043899,17401.0
tt0043924,
tt0044079,26597.0
tt0044081,
tt0044333,1600000.0
tt0044426,1250000.0
tt0044517,
tt0044751,
tt0044837,
tt0045061,10550000.0
tt0045162,18050000.0
tt0045184,
tt0045201,
tt0045274,71816.0
tt0045546,
tt0045693,
tt0045759,
tt0045816,
tt0045883,
tt0045888,23750000.0
tt0045891,
tt0045897,2000000.0
tt0045943,
tt0046126,
tt0046250,
tt0046719,
tt0046876,
tt0046883,
tt0046951,
tt0046969,
tt0047073,
tt0047296,
tt0047478,318649.0
tt0047542,1400000.0
tt0047630,
tt0047885,
tt0048380,21200000.0
tt0048473,134241.0
tt0048538,
tt0048554,1100000.0
tt0048673,
tt0048728,
tt0048750,
tt0048966,
tt0049092,
tt0049128,
tt0049189,
tt0049223,
tt0049291,1350000.0
tt0049470,
tt0049665,
tt0049778,
tt0050118,
tt0050168,
tt0050280,
tt0050777,
tt0050803,
tt0051036,
tt0051114,
tt0051429,
tt0051435,
tt0051459,
tt0051554,
tt0051565,
tt0051579,
tt0051622,
tt0051658,
tt0051744,
tt0051808,46808.0
tt0051852,17351.0
tt0052365,
tt0052555,
tt0052561,11900000.0
tt0052679,
tt0052832,
tt0052920,
tt0052948,
tt0053125,66728.0
tt0053131,
tt0053137,
tt0053143,23300000.0
tt0053146,
tt0053247,
tt0053291,
tt0053563,
tt0053604,18600000.0
tt0053779,
tt0054004,
tt0054016,
tt0054098,161434.0
tt0054170,
tt0054242,31539.0
tt0054248,
tt0054387,
tt0054443,
tt0054698,
tt0054931,
tt0054953,
tt0054997,
tt0055018,
tt0055031,
tt0055256,
tt0055347,
tt0055608,
tt0055630,46808.0
tt0055895,8123077.0
tt0056059,14000000.0
tt0056193,
tt0056197,
tt0056218,2757256.0
tt0056234,
tt0056264,
tt0056406,
tt0056700,
tt0056869,
tt0056875,
tt0056923,
tt0056931,1000000.0
tt0056937,57777778.0
tt0057076,24796765.0
tt0057115,
tt0057163,
tt0057193,46332858.0
tt0057232,
tt0057280,
tt0057427,93533.0
tt0057449,
tt0057522,
tt0057565,46808.0
tt0057652,
tt0057877,149327.0
tt0057993,
tt0058085,
tt0058088,
tt0058182,1480356.0
tt0058329,
tt0058418,
tt0058461,14500000.0
tt0058604,168100.0
tt0059126,
tt0059243,
tt0059362,
tt0059578,15000000.0
tt0059641,
tt0059711,17268889.0
tt0059792,
tt0059825,
tt0060049,
tt0060086,
tt0060121,
tt0060424,
tt0060440,
tt0060445,
tt0060464,
tt0060472,
tt0060490,
tt0060665,
tt0060701,
tt0060802,
tt0060921,
tt0061087,
tt0061107,
tt0061398,
tt0061452,
tt0061502,5200000.0
tt0061512,
tt0061578,
tt0061770,
tt0061811,
tt0061834,20238100.0
tt0061955,45075.0
tt0062138,
tt0062290,
tt0062707,
tt0062765,511350.0
tt0062776,
tt0062797,
tt0062985,
tt0063035,
tt0063056,
tt0063121,
tt0063275,
tt0063350,236452.0
tt0063360,
tt0063462,328673.0
tt0063518,
tt0063592,
tt0063688,
tt0063787,
tt0063794,148503.0
tt0064072,
tt0064100,
tt0064116,5321508.0
tt0064117,
tt0064437,
tt0064563,
tt0064576,
tt0064639,
tt0064747,
tt0064956,
tt0065234,83305.0
tt0065373,
tt0065571,238792.0
tt0065724,
tt0065761,
tt0065803,
tt0065999,
tt0066071,
tt0066092,
tt0066130,
tt0066471,
tt0066769,
tt0066831,
tt0066993,1133022.0
tt0067055,
tt0067260,
tt0067320,
tt0067321,
tt0067411,
tt0067541,50394.0
tt0067952,
tt0067961,51713.0
tt0067991,19216000.0
tt0067992,573368.0
tt0068260,
tt0068327,
tt0068341,
tt0068351,
tt0068473,
tt0068496,
tt0068519,
tt0068595,
tt0068611,
tt0068638,
tt0068762,
tt0068767,
