item,imdbID,itemLabel,domesticGross
http://www.wikidata.org/entity/Q3038433,tt0059126,Dr. Who and the Daleks,15238
http://www.wikidata.org/entity/Q28503977,tt0125411,Stolen Moments,9743
http://www.wikidata.org/entity/Q11786367,tt0366726,Lost Things,20899
http://www.wikidata.org/entity/Q3986793,tt0010088,The End of the Road,9000
http://www.wikidata.org/entity/Q4141403,tt1393742,Jesus Henry Christ,20183
http://www.wikidata.org/entity/Q71187629,tt10783920,Dert Bende,9070
http://www.wikidata.org/entity/Q52157742,tt0070471,The Sinister Eyes of Dr. Orloff,13532
http://www.wikidata.org/entity/Q7767193,tt0163306,The Sugar Factory,11109
http://www.wikidata.org/entity/Q122585757,tt0436681,The President Versus David Hicks,10367
http://www.wikidata.org/entity/Q7797343,tt1239388,Three Blind Mice,9590
http://www.wikidata.org/entity/Q42414642,tt1388358,Q42414642,17488
http://www.wikidata.org/entity/Q5437280,tt0104233,Fatal Bond,13871
http://www.wikidata.org/entity/Q2919745,tt0179137,Coronation,12908
http://www.wikidata.org/entity/Q490588,tt0808185,The Bothersome Man,8865
http://www.wikidata.org/entity/Q490588,tt0808185,The Bothersome Man,13206
http://www.wikidata.org/entity/Q5211065,tt0302453,Dalkeith,10500
http://www.wikidata.org/entity/Q5502935,tt0150641,Fresh Air,10050
http://www.wikidata.org/entity/Q4097600,tt1435475,"Buben, baraban",14800
http://www.wikidata.org/entity/Q4425710,tt2569398,And Here's What's Happening to Me,14000
http://www.wikidata.org/entity/Q28863793,tt6063090,Light of My Life,20056
http://www.wikidata.org/entity/Q488169,tt0353969,Memories of Murder,15357
http://www.wikidata.org/entity/Q6985914,tt0338280,Ned,20000
http://www.wikidata.org/entity/Q55652205,tt8499198,Two Tickets Home,18315
http://www.wikidata.org/entity/Q98073494,tt0055347,When Peace Breaks Out,14296.24
http://www.wikidata.org/entity/Q5332796,tt0092946,Echoes of Paradise,19851
http://www.wikidata.org/entity/Q3416832,tt0089247,Half Life: A Parable for the Nuclear Age,11264
http://www.wikidata.org/entity/Q12261286,tt0093761,Por la borda,22107.93
http://www.wikidata.org/entity/Q8002650,tt0281370,WillFull,21033
http://www.wikidata.org/entity/Q823239,tt0454065,The Aerial,16831
http://www.wikidata.org/entity/Q5208656,tt0169730,Dags,17171
http://www.wikidata.org/entity/Q105162570,tt11400902,A Banquet,13125
http://www.wikidata.org/entity/Q7289994,tt0795448,Rampage,17855
http://www.wikidata.org/entity/Q3488146,tt0201951,Strange Fits of Passion,22590
http://www.wikidata.org/entity/Q26933358,tt5121548,Breadcrumbs,18341.39
http://www.wikidata.org/entity/Q4906898,tt0240377,Bigger Than Tina,15000
http://www.wikidata.org/entity/Q85967451,tt3103318,Q85967451,15186.9
http://www.wikidata.org/entity/Q65276304,tt3886454,Thirty Souls (Trinta Lumes),16782.59
http://www.wikidata.org/entity/Q5861226,tt0158113,"Primer Festival de Mortadelo y Filemón, agencia de información",13430.84
http://www.wikidata.org/entity/Q21656525,tt0043750,Lola la Piconera,10105.42
http://www.wikidata.org/entity/Q1779674,tt0458242,Lights in the Dusk,14056
http://www.wikidata.org/entity/Q4973402,tt0106487,Broken Highway,18300
http://www.wikidata.org/entity/Q8073901,tt0120554,Zone 39,21976
http://www.wikidata.org/entity/Q526936,tt0116650,Irma Vep,9730
http://www.wikidata.org/entity/Q26436155,tt0054170,Pelusa,13313.91
http://www.wikidata.org/entity/Q7538810,tt0093988,"Slate, Wyn & Me",13478
http://www.wikidata.org/entity/Q64831799,tt7766122,Q64831799,9253.6
http://www.wikidata.org/entity/Q3567594,tt0867160,Whaledreamers,22769
http://www.wikidata.org/entity/Q6725917,tt0104785,Mad Bomber in Love,14590
http://www.wikidata.org/entity/Q85966619,tt10660156,Longa noite,19137.2
http://www.wikidata.org/entity/Q7720680,tt1321813,The Burning Season,19283
http://www.wikidata.org/entity/Q104671414,tt11660916,Ons,9158.46
http://www.wikidata.org/entity/Q15039791,tt0091948,Short Changed,14000
http://www.wikidata.org/entity/Q56216461,tt0093861,The Right-Hand Man,9660
http://www.wikidata.org/entity/Q466354,tt1183252,Chocolate,14845
http://www.wikidata.org/entity/Q8038631,tt0092241,Wrong World,17213
http://www.wikidata.org/entity/Q3147080,tt0855824,I Don't Want to Sleep Alone,19292
http://www.wikidata.org/entity/Q108677688,tt3914624,Q108677688,18382
http://www.wikidata.org/entity/Q102067365,tt12847680,Retirement Home,15356
http://www.wikidata.org/entity/Q7751722,tt0151594,The Missing,15091
http://www.wikidata.org/entity/Q5455347,tt0116315,Fistful of Flies,9490
http://www.wikidata.org/entity/Q19571382,tt0040259,Currito of the Cross,15983.12
http://www.wikidata.org/entity/Q7429060,tt0108047,Say a Little Prayer,12500
http://www.wikidata.org/entity/Q427186,tt0054248,Rocco and His Brothers,11328
http://www.wikidata.org/entity/Q96277505,tt10279102,4th Republic,21319
http://www.wikidata.org/entity/Q6946494,tt1368864,My Tehran for Sale,15458
http://www.wikidata.org/entity/Q7703117,tt0166842,Terra Nova,20000
http://www.wikidata.org/entity/Q64390886,tt7430722,War,11540
http://www.wikidata.org/entity/Q6932119,tt0138631,Muggers,13372
http://www.wikidata.org/entity/Q97662333,tt11686556,On the Moon,13955
http://www.wikidata.org/entity/Q6289021,tt0359518,Josh Jarman,11800
http://www.wikidata.org/entity/Q6078224,tt0102130,Isabelle Eberhardt,14323
http://www.wikidata.org/entity/Q7979467,tt0100909,Weekend with Kate,16019
http://www.wikidata.org/entity/Q39070849,tt6483364,Teen Spirit,20312
http://www.wikidata.org/entity/Q18157191,tt2784512,Zombeavers,14947
http://www.wikidata.org/entity/Q12102493,tt0448205,Bitter & Twisted,12555
http://www.wikidata.org/entity/Q113407742,tt15575470,Project Wolf Hunting,17900
http://www.wikidata.org/entity/Q113407742,tt15575470,Project Wolf Hunting,20541
http://www.wikidata.org/entity/Q24034612,tt2674430,Approaching the Unknown,10232
http://www.wikidata.org/entity/Q100250408,tt0081657,The Triple Death of the Third Character,20080.55
http://www.wikidata.org/entity/Q109286714,tt21309122,Reboiras: Acción e corazón,14494
http://www.wikidata.org/entity/Q7673935,tt0236783,Tackle Happy,20700
http://www.wikidata.org/entity/Q9075699,tt0064956,"Segundo Festival de Mortadelo y Filemón, agencia de información",15139.89
